"animals","condition","elevator","lat","lon","quarter","price","rooms","size","url","distance_to_bud_center","nearest_stop_distance","nearest_stop_distance_rail"
"no","good","yes",47.5044926,19.0662254,6,330000,4,100,"https://ingatlan.jofogas.hu/budapest/4_halos_2_furdos_lakas_a_Nagymezo_utca_kozepen_76993297.htm",1739.91788271644,133.751464818263,165.237736273582
"only small pets","renovated","yes",47.5116369,19.145336,14,125000,2,50,"https://ingatlan.jofogas.hu/budapest/50_m2_lakas_kiado_78808092.htm",7379.31714016201,80.8046963702535,860.985007658799
"only small pets","newly built","yes",47.4847078,19.0765481,8,133000,2,50,"https://ingatlan.jofogas.hu/budapest/50_nm_es_2_szobas__uj_epitesu_lakas_kiado_Budapest_VIII_keruletben_79155618.htm",2081.85311881956,178.632447936805,195.537015996698
"only small pets","good","no",47.5002092,19.050914,5,194823,1,50,"https://ingatlan.jofogas.hu/budapest/50_nm_es_lakas_kiado_Budapest_5__ker___2414804_78987366.htm",858.927508067404,147.395744303531,339.32379180364
"no","renovated","yes",47.5582067,19.0452571,3,160000,2,50,"https://ingatlan.jofogas.hu/budapest/50nm_es_lakas_kiado_79242344.htm",7328.94540328509,159.543468457016,159.543468457016
"no","good","no",47.5572916,19.1257187,15,110000,2,50,"https://ingatlan.jofogas.hu/budapest/50nm_es_lakas_kiado_a_XV_keruletben_77700509.htm",9123.6134259939,6.86337539066679,1046.36066638836
"no","like new","no",47.4996481,18.9819937,12,215000,2,53,"https://ingatlan.jofogas.hu/budapest/53_nm_es__1_felszobas__Napfenyes__Csendes__Panoramas__Felujitott__Bere_77175917.htm",5279.6658025192,162.805866967538,411.109003781798
NA,"like new","yes",47.5024721,19.0662313,7,240000,1,54,"https://ingatlan.jofogas.hu/budapest/54_nm_es_lakas_kiado_Budapest_7__ker_77705865.htm",1574.29298559688,58.1234436908426,62.5666274974471
NA,"like new","yes",47.5024721,19.0662313,7,240000,1,54,"https://ingatlan.jofogas.hu/budapest/54_nm_es_lakas_kiado_Budapest_7__ker_78631129.htm",1574.29298559688,58.1234436908426,62.5666274974471
"only small pets","renovated","yes",47.4763568,19.0224196,11,150000,1,54,"https://ingatlan.jofogas.hu/budapest/54nm_es_gazdagreti_teljesen_felujitott_lakas_kiado_78189257.htm",2824.69010291784,313.70839404694,789.426465639361
"no","like new","yes",47.492394,19.0540338,5,120000,1,30,"https://ingatlan.jofogas.hu/budapest/5_Vaci_u_Erkelyes_Garzon_rovid_kozeptavra_2_em_panoramas__76271401.htm",199.284037908299,111.575225501001,181.206858483379
NA,"good","yes",47.5158362,19.0558332,13,130000,2,54,"https://ingatlan.jofogas.hu/budapest/5_nm_es_jo_allapotu_erkelyes_lakas_Ujlipotvarosban_kiado_76315887.htm",2619.18357326552,166.456794451205,404.59599774359
NA,"good","yes",47.5158362,19.0558332,13,130000,2,54,"https://ingatlan.jofogas.hu/budapest/5_nm_es_jo_allapotu_erkelyes_lakas_Ujlipotvarosban_kiado_76459472.htm",2619.18357326552,166.456794451205,404.59599774359
"no","renovated","yes",47.4847078,19.0765481,8,250000,5,107,"https://ingatlan.jofogas.hu/budapest/5_szobas_duplex_kiado_76197552.htm",2081.85311881956,178.632447936805,195.537015996698
"no","renovated","no",47.4763568,19.0224196,11,195000,2,60,"https://ingatlan.jofogas.hu/budapest/60_m2_alberlet_kiado_a_Gellert_hegyen_79187037.htm",2824.69010291784,313.70839404694,789.426465639361
"yes","renovated","no",47.5084577,19.0016204,12,170000,3,60,"https://ingatlan.jofogas.hu/budapest/60_nm_1_2_fel_szoba_kiado_78723546.htm",4143.03814666465,163.176115768571,220.014489674388
"only small pets","renovated","yes",47.4381293,19.1009705,20,140000,1,61,"https://ingatlan.jofogas.hu/budapest/61m2_1_2_felszobas_lakas_hosszu_idore_kiado_79052486.htm",7110.24803547017,59.6902580493971,329.67792372661
NA,"good","no",47.5224569,19.114709,14,148000,2,62,"https://ingatlan.jofogas.hu/budapest/62_nm_es_lakas_kiado_Budapest_14__ker_77853045.htm",5813.05578656148,249.438969376086,398.388358628423
"no","like new","yes",47.5158364,19.0529536,13,160000,3,67,"https://ingatlan.jofogas.hu/budapest/67_nm_es_ujlipotvarosi_lakas_kiado_76572995.htm",2600.4592752727,98.4985632207317,476.351043926346
"no","good","no",47.5126618,19.1088199,14,130000,2,68,"https://ingatlan.jofogas.hu/budapest/68_nm_es_lakas_kiado_Budapest_14__ker___2387842_78351366.htm",4867.3114441873,254.534375648944,721.80711983607
"only small pets","good","yes",47.5116369,19.145336,14,175000,2,68,"https://ingatlan.jofogas.hu/budapest/68_nm_es_lakas_kiado_Budapest_14__ker___2414646_78982530.htm",7379.31714016201,80.8046963702535,860.985007658799
"no","like new","no",47.4833717,19.138271,10,150000,3,68,"https://ingatlan.jofogas.hu/budapest/68m2_2_1_szobas_napfenyes_lakas_X__keruletben_77071083.htm",6614.10451570859,130.1500803881,536.098096539337
